[0Q] Lower Bones -- Body system (Lower Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0Q2] Lower Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YX0Z] Change Drainage Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YXYZ] Change Other Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q5] Lower Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0QW807Z] Revision of Autologous Tissue Substitute in Right Femoral Shaft, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW80JZ] Revision of Synthetic Substitute in Right Femoral Shaft, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW80KZ] Revision of Nonautologous Tissue Substitute in Right Femoral Shaft, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW834Z] Revision of Internal Fixation Device in Right Femoral Shaft, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW835Z] Revision of External Fixation Device in Right Femoral Shaft, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW837Z] Revision of Autologous Tissue Substitute in Right Femoral Shaft, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW83JZ] Revision of Synthetic Substitute in Right Femoral Shaft, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW83KZ] Revision of Nonautologous Tissue Substitute in Right Femoral Shaft, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW844Z] Revision of Internal Fixation Device in Right Femoral Shaft, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW845Z] Revision of External Fixation Device in Right Femoral Shaft, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW847Z] Revision of Autologous Tissue Substitute in Right Femoral Shaft, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW84JZ] Revision of Synthetic Substitute in Right Femoral Shaft, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW84KZ] Revision of Nonautologous Tissue Substitute in Right Femoral Shaft, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW8X4Z] Revision of Internal Fixation Device in Right Femoral Shaft, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW8X5Z] Revision of External Fixation Device in Right Femoral Shaft, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW8X7Z] Revision of Autologous Tissue Substitute in Right Femoral Shaft, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW8XJZ] Revision of Synthetic Substitute in Right Femoral Shaft, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW8XKZ] Revision of Nonautologous Tissue Substitute in Right Femoral Shaft, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW904Z] Revision of Internal Fixation Device in Left Femoral Shaft, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW905Z] Revision of External Fixation Device in Left Femoral Shaft, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW907Z] Revision of Autologous Tissue Substitute in Left Femoral Shaft, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW90JZ] Revision of Synthetic Substitute in Left Femoral Shaft, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW90KZ] Revision of Nonautologous Tissue Substitute in Left Femoral Shaft, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW934Z] Revision of Internal Fixation Device in Left Femoral Shaft, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW935Z] Revision of External Fixation Device in Left Femoral Shaft, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW937Z] Revision of Autologous Tissue Substitute in Left Femoral Shaft, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW93JZ] Revision of Synthetic Substitute in Left Femoral Shaft, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW93KZ] Revision of Nonautologous Tissue Substitute in Left Femoral Shaft, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW944Z] Revision of Internal Fixation Device in Left Femoral Shaft, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW945Z] Revision of External Fixation Device in Left Femoral Shaft, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW947Z] Revision of Autologous Tissue Substitute in Left Femoral Shaft, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW94JZ] Revision of Synthetic Substitute in Left Femoral Shaft, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW94KZ] Revision of Nonautologous Tissue Substitute in Left Femoral Shaft, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW9X4Z] Revision of Internal Fixation Device in Left Femoral Shaft, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW9X5Z] Revision of External Fixation Device in Left Femoral Shaft, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW9X7Z] Revision of Autologous Tissue Substitute in Left Femoral Shaft, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW9XJZ] Revision of Synthetic Substitute in Left Femoral Shaft, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QW9XKZ] Revision of Nonautologous Tissue Substitute in Left Femoral Shaft, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QWB04Z] Revision of Internal Fixation Device in Right Lower Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QWB05Z] Revision of External Fixation Device in Right Lower Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QWB07Z] Revision of Autologous Tissue Substitute in Right Lower Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QWB0JZ] Revision of Synthetic Substitute in Right Lower Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QWB0KZ] Revision of Nonautologous Tissue Substitute in Right Lower Femur, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QWB34Z] Revision of Internal Fixation Device in Right Lower Femur, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0QWB35Z] Revision of External Fixation Device in Right Lower Femur, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
