[0K] Muscles -- Body system (Muscles) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0K2] Muscles, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XX0Z] Change Drainage Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XXYZ] Change Other Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YX0Z] Change Drainage Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YXYZ] Change Other Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K5] Muscles, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0KXH4Z1] Transfer Right Thorax Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXH4Z2] Transfer Right Thorax Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXH4ZZ] Transfer Right Thorax Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXJ0Z0] Transfer Left Thorax Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXJ0Z1] Transfer Left Thorax Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXJ0Z2] Transfer Left Thorax Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXJ0ZZ] Transfer Left Thorax Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXJ4Z0] Transfer Left Thorax Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXJ4Z1] Transfer Left Thorax Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXJ4Z2] Transfer Left Thorax Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXJ4ZZ] Transfer Left Thorax Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXK0Z0] Transfer Right Abdomen Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXK0Z1] Transfer Right Abdomen Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXK0Z2] Transfer Right Abdomen Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXK0Z6] Transfer Right Abdomen Muscle, Transverse Rectus Abdominis Myocutaneous Flap, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXK0ZZ] Transfer Right Abdomen Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXK4Z0] Transfer Right Abdomen Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXK4Z1] Transfer Right Abdomen Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXK4Z2] Transfer Right Abdomen Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXK4Z6] Transfer Right Abdomen Muscle, Transverse Rectus Abdominis Myocutaneous Flap, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXK4ZZ] Transfer Right Abdomen Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXL0Z0] Transfer Left Abdomen Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXL0Z1] Transfer Left Abdomen Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXL0Z2] Transfer Left Abdomen Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXL0Z6] Transfer Left Abdomen Muscle, Transverse Rectus Abdominis Myocutaneous Flap, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXL0ZZ] Transfer Left Abdomen Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXL4Z0] Transfer Left Abdomen Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXL4Z1] Transfer Left Abdomen Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXL4Z2] Transfer Left Abdomen Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXL4Z6] Transfer Left Abdomen Muscle, Transverse Rectus Abdominis Myocutaneous Flap, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXL4ZZ] Transfer Left Abdomen Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXM0Z0] Transfer Perineum Muscle with Skin, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXM0Z1] Transfer Perineum Muscle with Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXM0Z2] Transfer Perineum Muscle with Skin and Subcutaneous Tissue, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXM0ZZ] Transfer Perineum Muscle, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXM4Z0] Transfer Perineum Muscle with Skin, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXM4Z1] Transfer Perineum Muscle with Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXM4Z2] Transfer Perineum Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0KXM4ZZ] Transfer Perineum Muscle, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
