[0D] Gastrointestinal System -- Body system (Gastrointestinal System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0D1] Gastrointestinal System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0DTJ7ZZ] Resection of Appendix, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DTJ8ZZ] Resection of Appendix, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTK0ZZ] Resection of Ascending Colon, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTK4ZZ] Resection of Ascending Colon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DTK7ZZ] Resection of Ascending Colon, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DTK8ZZ] Resection of Ascending Colon, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTL0ZZ] Resection of Transverse Colon, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTL4ZG] Resection of Transverse Colon, Percutaneous Endoscopic Approach, Hand-Assisted -- Cutting out or off, without replacement, all of a body part
[0DTL4ZZ] Resection of Transverse Colon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DTL7ZZ] Resection of Transverse Colon, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DTL8ZZ] Resection of Transverse Colon, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTLFZZ] Resection of Transverse Colon, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance -- Cutting out or off, without replacement, all of a body part
[0DTM0ZZ] Resection of Descending Colon, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTM4ZG] Resection of Descending Colon, Percutaneous Endoscopic Approach, Hand-Assisted -- Cutting out or off, without replacement, all of a body part
[0DTM4ZZ] Resection of Descending Colon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DTM7ZZ] Resection of Descending Colon, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DTM8ZZ] Resection of Descending Colon, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTMFZZ] Resection of Descending Colon, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance -- Cutting out or off, without replacement, all of a body part
[0DTN0ZZ] Resection of Sigmoid Colon, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTN4ZG] Resection of Sigmoid Colon, Percutaneous Endoscopic Approach, Hand-Assisted -- Cutting out or off, without replacement, all of a body part
[0DTN4ZZ] Resection of Sigmoid Colon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DTN7ZZ] Resection of Sigmoid Colon, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DTN8ZZ] Resection of Sigmoid Colon, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTNFZZ] Resection of Sigmoid Colon, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance -- Cutting out or off, without replacement, all of a body part
[0DTP0ZZ] Resection of Rectum, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTP4ZZ] Resection of Rectum, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DTP7ZZ] Resection of Rectum, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DTP8ZZ] Resection of Rectum, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTQ0ZZ] Resection of Anus, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTQ4ZZ] Resection of Anus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DTQ7ZZ] Resection of Anus, Via Natural or Artificial Opening -- Cutting out or off, without replacement, all of a body part
[0DTQ8ZZ] Resection of Anus, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, all of a body part
[0DTR0ZZ] Resection of Anal Sphincter, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTR4ZZ] Resection of Anal Sphincter, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DTU0ZZ] Resection of Omentum, Open Approach -- Cutting out or off, without replacement, all of a body part
[0DTU4ZZ] Resection of Omentum, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, all of a body part
[0DU] Gastrointestinal System, Supplement -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU107Z] Supplement Upper Esophagus with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU10JZ] Supplement Upper Esophagus with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU10KZ] Supplement Upper Esophagus with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU147Z] Supplement Upper Esophagus with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU14JZ] Supplement Upper Esophagus with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU14KZ] Supplement Upper Esophagus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU177Z] Supplement Upper Esophagus with Autologous Tissue Substitute, Via Natural or Artificial Opening -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU17JZ] Supplement Upper Esophagus with Synthetic Substitute, Via Natural or Artificial Opening -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU17KZ] Supplement Upper Esophagus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU187Z] Supplement Upper Esophagus with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU18JZ] Supplement Upper Esophagus with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU18KZ] Supplement Upper Esophagus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU207Z] Supplement Middle Esophagus with Autologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU20JZ] Supplement Middle Esophagus with Synthetic Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU20KZ] Supplement Middle Esophagus with Nonautologous Tissue Substitute, Open Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU247Z] Supplement Middle Esophagus with Autologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU24JZ] Supplement Middle Esophagus with Synthetic Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU24KZ] Supplement Middle Esophagus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU277Z] Supplement Middle Esophagus with Autologous Tissue Substitute, Via Natural or Artificial Opening -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
[0DU27JZ] Supplement Middle Esophagus with Synthetic Substitute, Via Natural or Artificial Opening -- Putting in or on biological or synthetic material that physically reinforces and/or augments the function of a portion of a body part
