[01] Peripheral Nervous System -- Body system (Peripheral Nervous System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[012] Peripheral Nervous System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YX0Z] Change Drainage Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YXYZ] Change Other Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[015] Peripheral Nervous System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01X64Z5] Transfer Radial Nerve to Median Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X64Z6] Transfer Radial Nerve to Radial Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X80Z8] Transfer Thoracic Nerve to Thoracic Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01X84Z8] Transfer Thoracic Nerve to Thoracic Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XB0ZB] Transfer Lumbar Nerve to Lumbar Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XB0ZC] Transfer Lumbar Nerve to Perineal Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XB4ZB] Transfer Lumbar Nerve to Lumbar Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XB4ZC] Transfer Lumbar Nerve to Perineal Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XC0ZB] Transfer Pudendal Nerve to Lumbar Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XC0ZC] Transfer Pudendal Nerve to Perineal Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XC4ZB] Transfer Pudendal Nerve to Lumbar Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XC4ZC] Transfer Pudendal Nerve to Perineal Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XD0ZD] Transfer Femoral Nerve to Femoral Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XD0ZF] Transfer Femoral Nerve to Sciatic Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XD0ZG] Transfer Femoral Nerve to Tibial Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XD0ZH] Transfer Femoral Nerve to Peroneal Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XD4ZD] Transfer Femoral Nerve to Femoral Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XD4ZF] Transfer Femoral Nerve to Sciatic Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XD4ZG] Transfer Femoral Nerve to Tibial Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XD4ZH] Transfer Femoral Nerve to Peroneal Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XF0ZD] Transfer Sciatic Nerve to Femoral Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XF0ZF] Transfer Sciatic Nerve to Sciatic Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XF0ZG] Transfer Sciatic Nerve to Tibial Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XF0ZH] Transfer Sciatic Nerve to Peroneal Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XF4ZD] Transfer Sciatic Nerve to Femoral Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XF4ZF] Transfer Sciatic Nerve to Sciatic Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XF4ZG] Transfer Sciatic Nerve to Tibial Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XF4ZH] Transfer Sciatic Nerve to Peroneal Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XG0ZD] Transfer Tibial Nerve to Femoral Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XG0ZF] Transfer Tibial Nerve to Sciatic Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XG0ZG] Transfer Tibial Nerve to Tibial Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XG0ZH] Transfer Tibial Nerve to Peroneal Nerve, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XG4ZD] Transfer Tibial Nerve to Femoral Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XG4ZF] Transfer Tibial Nerve to Sciatic Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XG4ZG] Transfer Tibial Nerve to Tibial Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[01XG4ZH] Transfer Tibial Nerve to Peroneal Nerve, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
