[0L] Tendons -- Body system (Tendons) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0L2] Tendons, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XX0Z] Change Drainage Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XXYZ] Change Other Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YX0Z] Change Drainage Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YXYZ] Change Other Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L5] Tendons, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0LWY0KZ] Revision of Nonautologous Tissue Substitute in Lower Tendon, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWY0YZ] Revision of Other Device in Lower Tendon, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWY30Z] Revision of Drainage Device in Lower Tendon, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWY37Z] Revision of Autologous Tissue Substitute in Lower Tendon, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWY3JZ] Revision of Synthetic Substitute in Lower Tendon, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWY3KZ] Revision of Nonautologous Tissue Substitute in Lower Tendon, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWY3YZ] Revision of Other Device in Lower Tendon, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWY40Z] Revision of Drainage Device in Lower Tendon, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWY47Z] Revision of Autologous Tissue Substitute in Lower Tendon, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWY4JZ] Revision of Synthetic Substitute in Lower Tendon, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWY4KZ] Revision of Nonautologous Tissue Substitute in Lower Tendon, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWY4YZ] Revision of Other Device in Lower Tendon, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWYX0Z] Revision of Drainage Device in Lower Tendon, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWYX7Z] Revision of Autologous Tissue Substitute in Lower Tendon, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWYXJZ] Revision of Synthetic Substitute in Lower Tendon, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LWYXKZ] Revision of Nonautologous Tissue Substitute in Lower Tendon, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0LX] Tendons, Transfer -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX00ZZ] Transfer Head and Neck Tendon, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX04ZZ] Transfer Head and Neck Tendon, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX10ZZ] Transfer Right Shoulder Tendon, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX14ZZ] Transfer Right Shoulder Tendon, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX20ZZ] Transfer Left Shoulder Tendon, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX24ZZ] Transfer Left Shoulder Tendon, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX30ZZ] Transfer Right Upper Arm Tendon, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX34ZZ] Transfer Right Upper Arm Tendon, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX40ZZ] Transfer Left Upper Arm Tendon, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX44ZZ] Transfer Left Upper Arm Tendon, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX50ZZ] Transfer Right Lower Arm and Wrist Tendon, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX54ZZ] Transfer Right Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX60ZZ] Transfer Left Lower Arm and Wrist Tendon, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX64ZZ] Transfer Left Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX70ZZ] Transfer Right Hand Tendon, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX74ZZ] Transfer Right Hand Tendon, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX80ZZ] Transfer Left Hand Tendon, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX84ZZ] Transfer Left Hand Tendon, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX90ZZ] Transfer Right Trunk Tendon, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LX94ZZ] Transfer Right Trunk Tendon, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LXB0ZZ] Transfer Left Trunk Tendon, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LXB4ZZ] Transfer Left Trunk Tendon, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LXC0ZZ] Transfer Right Thorax Tendon, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LXC4ZZ] Transfer Right Thorax Tendon, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LXD0ZZ] Transfer Left Thorax Tendon, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LXD4ZZ] Transfer Left Thorax Tendon, Percutaneous Endoscopic Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
[0LXF0ZZ] Transfer Right Abdomen Tendon, Open Approach -- Moving, without taking out, all or a portion of a body part to another location to take over the function of all or a portion of a body part
