[0B] Respiratory System -- Body system (Respiratory System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0B1] Respiratory System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0B110D6] Bypass Trachea to Esophagus with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110Z4] Bypass Trachea to Cutaneous, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B113F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B113Z4] Bypass Trachea to Cutaneous, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B114F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B114Z4] Bypass Trachea to Cutaneous, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B2] Respiratory System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20X0Z] Change Drainage Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20XYZ] Change Other Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21X0Z] Change Drainage Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XEZ] Change Endotracheal Airway in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XFZ] Change Tracheostomy Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XYZ] Change Other Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KX0Z] Change Drainage Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KXYZ] Change Other Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LX0Z] Change Drainage Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LXYZ] Change Other Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QX0Z] Change Drainage Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QXYZ] Change Other Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TX0Z] Change Drainage Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TXYZ] Change Other Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B5] Respiratory System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0BW08YZ] Revision of Other Device in Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW0X0Z] Revision of Drainage Device in Tracheobronchial Tree, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW0X2Z] Revision of Monitoring Device in Tracheobronchial Tree, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW0X3Z] Revision of Infusion Device in Tracheobronchial Tree, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW0X7Z] Revision of Autologous Tissue Substitute in Tracheobronchial Tree, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW0XCZ] Revision of Extraluminal Device in Tracheobronchial Tree, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW0XDZ] Revision of Intraluminal Device in Tracheobronchial Tree, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW0XJZ] Revision of Synthetic Substitute in Tracheobronchial Tree, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW0XKZ] Revision of Nonautologous Tissue Substitute in Tracheobronchial Tree, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW100Z] Revision of Drainage Device in Trachea, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW102Z] Revision of Monitoring Device in Trachea, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW107Z] Revision of Autologous Tissue Substitute in Trachea, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW10CZ] Revision of Extraluminal Device in Trachea, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW10DZ] Revision of Intraluminal Device in Trachea, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW10FZ] Revision of Tracheostomy Device in Trachea, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW10JZ] Revision of Synthetic Substitute in Trachea, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW10KZ] Revision of Nonautologous Tissue Substitute in Trachea, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW130Z] Revision of Drainage Device in Trachea, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW132Z] Revision of Monitoring Device in Trachea, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW137Z] Revision of Autologous Tissue Substitute in Trachea, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW13CZ] Revision of Extraluminal Device in Trachea, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW13DZ] Revision of Intraluminal Device in Trachea, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW13FZ] Revision of Tracheostomy Device in Trachea, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW13JZ] Revision of Synthetic Substitute in Trachea, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW13KZ] Revision of Nonautologous Tissue Substitute in Trachea, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW140Z] Revision of Drainage Device in Trachea, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW142Z] Revision of Monitoring Device in Trachea, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW147Z] Revision of Autologous Tissue Substitute in Trachea, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW14CZ] Revision of Extraluminal Device in Trachea, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW14DZ] Revision of Intraluminal Device in Trachea, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW14FZ] Revision of Tracheostomy Device in Trachea, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW14JZ] Revision of Synthetic Substitute in Trachea, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW14KZ] Revision of Nonautologous Tissue Substitute in Trachea, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW170Z] Revision of Drainage Device in Trachea, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW172Z] Revision of Monitoring Device in Trachea, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW177Z] Revision of Autologous Tissue Substitute in Trachea, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW17CZ] Revision of Extraluminal Device in Trachea, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW17DZ] Revision of Intraluminal Device in Trachea, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW17FZ] Revision of Tracheostomy Device in Trachea, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW17JZ] Revision of Synthetic Substitute in Trachea, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW17KZ] Revision of Nonautologous Tissue Substitute in Trachea, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW180Z] Revision of Drainage Device in Trachea, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW182Z] Revision of Monitoring Device in Trachea, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW187Z] Revision of Autologous Tissue Substitute in Trachea, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW18CZ] Revision of Extraluminal Device in Trachea, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW18DZ] Revision of Intraluminal Device in Trachea, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW18FZ] Revision of Tracheostomy Device in Trachea, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW18JZ] Revision of Synthetic Substitute in Trachea, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW18KZ] Revision of Nonautologous Tissue Substitute in Trachea, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW1X0Z] Revision of Drainage Device in Trachea, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW1X2Z] Revision of Monitoring Device in Trachea, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW1X7Z] Revision of Autologous Tissue Substitute in Trachea, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW1XCZ] Revision of Extraluminal Device in Trachea, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW1XDZ] Revision of Intraluminal Device in Trachea, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW1XFZ] Revision of Tracheostomy Device in Trachea, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW1XJZ] Revision of Synthetic Substitute in Trachea, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BW1XKZ] Revision of Nonautologous Tissue Substitute in Trachea, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK00Z] Revision of Drainage Device in Right Lung, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK02Z] Revision of Monitoring Device in Right Lung, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK03Z] Revision of Infusion Device in Right Lung, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK0YZ] Revision of Other Device in Right Lung, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK30Z] Revision of Drainage Device in Right Lung, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK32Z] Revision of Monitoring Device in Right Lung, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK33Z] Revision of Infusion Device in Right Lung, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK3YZ] Revision of Other Device in Right Lung, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK40Z] Revision of Drainage Device in Right Lung, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK42Z] Revision of Monitoring Device in Right Lung, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK43Z] Revision of Infusion Device in Right Lung, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK4YZ] Revision of Other Device in Right Lung, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK70Z] Revision of Drainage Device in Right Lung, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK72Z] Revision of Monitoring Device in Right Lung, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK73Z] Revision of Infusion Device in Right Lung, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK7YZ] Revision of Other Device in Right Lung, Via Natural or Artificial Opening -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK80Z] Revision of Drainage Device in Right Lung, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK82Z] Revision of Monitoring Device in Right Lung, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK83Z] Revision of Infusion Device in Right Lung, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWK8YZ] Revision of Other Device in Right Lung, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWKX0Z] Revision of Drainage Device in Right Lung, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0BWKX2Z] Revision of Monitoring Device in Right Lung, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
