[0F] Hepatobiliary System and Pancreas -- Body system (Hepatobiliary System and Pancreas) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0F1] Hepatobiliary System and Pancreas, Bypass -- Altering the route of passage of the contents of a tubular body part
[0FVF4DZ] Restriction of Accessory Pancreatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVF4ZZ] Restriction of Accessory Pancreatic Duct, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[0FVF7DZ] Restriction of Accessory Pancreatic Duct with Intraluminal Device, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FVF7ZZ] Restriction of Accessory Pancreatic Duct, Via Natural or Artificial Opening -- Partially closing an orifice or the lumen of a tubular body part
[0FVF8DZ] Restriction of Accessory Pancreatic Duct with Intraluminal Device, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FVF8ZZ] Restriction of Accessory Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Partially closing an orifice or the lumen of a tubular body part
[0FW] Hepatobiliary System and Pancreas, Revision -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW000Z] Revision of Drainage Device in Liver, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW002Z] Revision of Monitoring Device in Liver, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW003Z] Revision of Infusion Device in Liver, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW00YZ] Revision of Other Device in Liver, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW030Z] Revision of Drainage Device in Liver, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW032Z] Revision of Monitoring Device in Liver, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW033Z] Revision of Infusion Device in Liver, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW03YZ] Revision of Other Device in Liver, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW040Z] Revision of Drainage Device in Liver, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW042Z] Revision of Monitoring Device in Liver, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW043Z] Revision of Infusion Device in Liver, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW04YZ] Revision of Other Device in Liver, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW0X0Z] Revision of Drainage Device in Liver, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW0X2Z] Revision of Monitoring Device in Liver, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW0X3Z] Revision of Infusion Device in Liver, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW400Z] Revision of Drainage Device in Gallbladder, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW402Z] Revision of Monitoring Device in Gallbladder, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW403Z] Revision of Infusion Device in Gallbladder, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW40DZ] Revision of Intraluminal Device in Gallbladder, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW40YZ] Revision of Other Device in Gallbladder, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW430Z] Revision of Drainage Device in Gallbladder, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW432Z] Revision of Monitoring Device in Gallbladder, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW433Z] Revision of Infusion Device in Gallbladder, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW43DZ] Revision of Intraluminal Device in Gallbladder, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW43YZ] Revision of Other Device in Gallbladder, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW440Z] Revision of Drainage Device in Gallbladder, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW442Z] Revision of Monitoring Device in Gallbladder, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW443Z] Revision of Infusion Device in Gallbladder, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW44DZ] Revision of Intraluminal Device in Gallbladder, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW44YZ] Revision of Other Device in Gallbladder, Percutaneous Endoscopic Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW480Z] Revision of Drainage Device in Gallbladder, Via Natural or Artificial Opening Endoscopic -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW4X0Z] Revision of Drainage Device in Gallbladder, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW4X2Z] Revision of Monitoring Device in Gallbladder, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW4X3Z] Revision of Infusion Device in Gallbladder, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FW4XDZ] Revision of Intraluminal Device in Gallbladder, External Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FWB00Z] Revision of Drainage Device in Hepatobiliary Duct, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FWB02Z] Revision of Monitoring Device in Hepatobiliary Duct, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FWB03Z] Revision of Infusion Device in Hepatobiliary Duct, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FWB07Z] Revision of Autologous Tissue Substitute in Hepatobiliary Duct, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FWB0CZ] Revision of Extraluminal Device in Hepatobiliary Duct, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FWB0DZ] Revision of Intraluminal Device in Hepatobiliary Duct, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FWB0JZ] Revision of Synthetic Substitute in Hepatobiliary Duct, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FWB0KZ] Revision of Nonautologous Tissue Substitute in Hepatobiliary Duct, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FWB0YZ] Revision of Other Device in Hepatobiliary Duct, Open Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FWB30Z] Revision of Drainage Device in Hepatobiliary Duct, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
[0FWB32Z] Revision of Monitoring Device in Hepatobiliary Duct, Percutaneous Approach -- Correcting, to the extent possible, a portion of a malfunctioning device or the position of a displaced device
