[07] Lymphatic and Hemic Systems -- Body system (Lymphatic and Hemic Systems) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[071] Lymphatic and Hemic Systems, Bypass -- Altering the route of passage of the contents of a tubular body part
[07V73ZZ] Restriction of Thorax Lymphatic, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V74CZ] Restriction of Thorax Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V74DZ] Restriction of Thorax Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V74ZZ] Restriction of Thorax Lymphatic, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V80CZ] Restriction of Right Internal Mammary Lymphatic with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V80DZ] Restriction of Right Internal Mammary Lymphatic with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V80ZZ] Restriction of Right Internal Mammary Lymphatic, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V83CZ] Restriction of Right Internal Mammary Lymphatic with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V83DZ] Restriction of Right Internal Mammary Lymphatic with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V83ZZ] Restriction of Right Internal Mammary Lymphatic, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V84CZ] Restriction of Right Internal Mammary Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V84DZ] Restriction of Right Internal Mammary Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V84ZZ] Restriction of Right Internal Mammary Lymphatic, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V90CZ] Restriction of Left Internal Mammary Lymphatic with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V90DZ] Restriction of Left Internal Mammary Lymphatic with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V90ZZ] Restriction of Left Internal Mammary Lymphatic, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V93CZ] Restriction of Left Internal Mammary Lymphatic with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V93DZ] Restriction of Left Internal Mammary Lymphatic with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V93ZZ] Restriction of Left Internal Mammary Lymphatic, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V94CZ] Restriction of Left Internal Mammary Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V94DZ] Restriction of Left Internal Mammary Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07V94ZZ] Restriction of Left Internal Mammary Lymphatic, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VB0CZ] Restriction of Mesenteric Lymphatic with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VB0DZ] Restriction of Mesenteric Lymphatic with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VB0ZZ] Restriction of Mesenteric Lymphatic, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VB3CZ] Restriction of Mesenteric Lymphatic with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VB3DZ] Restriction of Mesenteric Lymphatic with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VB3ZZ] Restriction of Mesenteric Lymphatic, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VB4CZ] Restriction of Mesenteric Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VB4DZ] Restriction of Mesenteric Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VB4ZZ] Restriction of Mesenteric Lymphatic, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VC0CZ] Restriction of Pelvis Lymphatic with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VC0DZ] Restriction of Pelvis Lymphatic with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VC0ZZ] Restriction of Pelvis Lymphatic, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VC3CZ] Restriction of Pelvis Lymphatic with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VC3DZ] Restriction of Pelvis Lymphatic with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VC3ZZ] Restriction of Pelvis Lymphatic, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VC4CZ] Restriction of Pelvis Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VC4DZ] Restriction of Pelvis Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VC4ZZ] Restriction of Pelvis Lymphatic, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VD0CZ] Restriction of Aortic Lymphatic with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VD0DZ] Restriction of Aortic Lymphatic with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VD0ZZ] Restriction of Aortic Lymphatic, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VD3CZ] Restriction of Aortic Lymphatic with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VD3DZ] Restriction of Aortic Lymphatic with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VD3ZZ] Restriction of Aortic Lymphatic, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VD4CZ] Restriction of Aortic Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VD4DZ] Restriction of Aortic Lymphatic with Intraluminal Device, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VD4ZZ] Restriction of Aortic Lymphatic, Percutaneous Endoscopic Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VF0CZ] Restriction of Right Lower Extremity Lymphatic with Extraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VF0DZ] Restriction of Right Lower Extremity Lymphatic with Intraluminal Device, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VF0ZZ] Restriction of Right Lower Extremity Lymphatic, Open Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VF3CZ] Restriction of Right Lower Extremity Lymphatic with Extraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VF3DZ] Restriction of Right Lower Extremity Lymphatic with Intraluminal Device, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
[07VF3ZZ] Restriction of Right Lower Extremity Lymphatic, Percutaneous Approach -- Partially closing an orifice or the lumen of a tubular body part
